Title,Recruiter,Salary,Position,Location,Date Posted
Data Analyst (Senior) at Parvana Recruitment,Parvana Strategic Sourcing,R Undisclosed,Permanent Senior position,South Africa,Posted 05 Jun 2025
Data Analyst at Parvana Recruitment,Parvana Strategic Sourcing,R Undisclosed,Permanent Senior position,Johannesburg,Posted 05 Jun 2025
Data Analyst at Parvana Recruitment,Parvana Strategic Sourcing,R Undisclosed,Permanent Intermediate position,Cape Town,Posted 05 Jun 2025
Data Analyst at Find the Gap,N/A,"R10,000 - R30,000 per month",Permanent Intermediate position,Kleinbron Estate,Posted 04 Jun 2025
Data Analyst at Taylored Appointments,Taylored Appointments,"R41,700 - R50,000 per month",Permanent Intermediate position,Bryanston,Posted 04 Jun 2025
Data Analyst,Rosstone Consulting,"R50,000 per month",Temporary Specialist position,Eastern Cape,Posted 04 Jun 2025
Data Analyst,Hire Resolve,"R35,000 - R50,000 per month",Permanent Senior position,Pretoria,Posted 01 Jun 2025
Data Analyst,Humanity SA,"R23,300 - R33,300 per month",Permanent Junior position,Sandton,Posted 31 May 2025
Data Analyst - Credit Optimisation at The Foschini Group,The Foschini Group,R Undisclosed,Permanent Intermediate position,Parow East (Parrow East),Posted 26 May 2025
Senior Data Analyst (ITC-10),Accredited Resource Consulting Services (Pty) Ltd,R Undisclosed,Contract Senior position,Centurion,Posted 04 Jun 2025
Technical Data Analyst at Sabenza IT & Recruitment,DCV Sabenza IT and Recruitment,R Undisclosed,Permanent Executive position,Kuils River (De Kuilen),Posted 03 Jun 2025
Junior Data Analyst,Zeal HR,Undisclosed,Permanent Junior position,Bellville,Posted 30 May 2025
BI & Data Analyst - Portfolio Intelligence (3-Month Contract),Columbus Consulting,Undisclosed,Contract Senior position,Cape Town CBD,Posted 31 May 2025
Finance Systems Data Analyst (FP&A) at The Foschini Group,The Foschini Group,R Undisclosed,Permanent Intermediate position,Parow East (Parrow East),Posted 15 May 2025
Data Steward at Datonomy Solutions,Datonomy Solutions (Cape Town),R Undisclosed,Contract Intermediate position,Cape Town,Posted 03 Jun 2025
Business Analyst: Data Management & Governance at Sabenza IT & Recruitment,DCV Sabenza IT and Recruitment,R Undisclosed,Contract Specialist position,Cape Town,Posted 03 Jun 2025
BI Analyst at Parvana Recruitment,Parvana Strategic Sourcing,R Undisclosed,Permanent Intermediate position,Cape Town,Posted 05 Jun 2025
Business Intelligence Analyst,Waterfoot Consulting,"R25,000 - R30,000 per month",Permanent Intermediate position,Centurion,Posted 04 Jun 2025
Data Scientist at Parvana Recruitment,Parvana Strategic Sourcing,R Undisclosed,Permanent Junior position,Cape Town,Posted 05 Jun 2025
Data Scientist (Senior) at Parvana Recruitment,Parvana Strategic Sourcing,R Undisclosed,Permanent Senior position,Cape Town,Posted 05 Jun 2025
Business Intelligence Analyst,Waterfoot Consulting,"R12,000 - R15,000 per month",Permanent Junior position,Centurion,Posted 04 Jun 2025
BI Developer at Sabenza IT & Recruitment,DCV Sabenza IT and Recruitment,R Undisclosed,Contract Senior position,Parow (Parrow),Posted 04 Jun 2025
Data Scientist,Psybergate Pty Ltd,R Undisclosed,Permanent Senior position,South Africa,Posted 02 Jun 2025
Data Scientist,MSP Staffing,"R37,500 - R45,000 per month",Permanent Intermediate position,Durban Region,Posted 02 Jun 2025
Data Scientist - Credit Optimisation at The Foschini Group,The Foschini Group,R Undisclosed,Permanent Intermediate position,Parow East (Parrow East),Posted 01 Jun 2025
